product,review_content,rating,review_date,variant,source
Amazon Alexa / Echo,"have only had it set up for a few days. still adding smart home devices to it. the speaker is great for playing music. i like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",4,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i love it. it plays my sleep sounds immediately when i ask,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i got a second unit for the bedroom, i was expecting the sounds to be improved but i didnt really see a difference at all.  overall, not a big improvement over the 1st generation.",3,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,amazing product,5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i love my echo. it's easy to operate, loads of fun.it is everything as advertised. i use it mainly to play my favorite tunes and test alexa's knowledge.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,sounds great!! love them!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"fun item to play with and get used to using.  sometimes has hard time answering the questions you ask, but i think it will be better.",4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,just like the other one,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,still learning all the capabilities...but so far pretty pretty pretty good,5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i like it,4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"she works well. needs a learning command  for unique, owners and users like. alexa “learn” tasha’s birthday.  or alexa “learn” my definition of fine. etc. other than that she is great",5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the speakers sound pretty good for being so small and setup is pretty easy.  i bought two and the reason i only rate it a 3 is i have followed the instructions for synching music to both units.  i know i've done it correctly but they won't sync.  that was my primary motivation for purchasing multiple units.,3,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,this device is awesome!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i bought this to compare the speaker quality to our first generation speaker and i like the sound better.  i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"love my echo. still learning all the things it will do. wasn’t able to follow instructions included in the package, but found a great one on u-tube.",5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,speaker is better than 1st generation echo,4,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"this thing is way cool!  you should get one.  if you want to be cool, that is.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"this is my first digital assistant so i'm giving this a good review. speaker is really good for the cheap price on prime day. fun to play with and can be used as an alarm clock (that's what i was going to get in the first place, but i ended up with echo). if you haven't had a go with one then definitely try it!what i like best is the number of other devices that it can connect with. my purchase came with a smart plug for $10 which i connect my lamp to. alexa, turn of the lights!",5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,my husband likes being able to use it to listen to music.  i wish we knew all it's capabilities,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"my android would not allow alexa to connect. fortunately, my sister was here with her apple cell. after an hour+ tech support fixed the glitches. we are up and running.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,so far so good,4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,tried to play certain broadway shows like camelot and it gives ne the group camelot.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,great,5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,very satisfied with the echo. alexa now controls the lights in my family room and my wife can listen to jimmy buffet by just asking alexa.,5,30-Jul-18,Walnut Finish ,kaggle_amazon_alexa
Amazon Alexa / Echo,"it's like siri, in fact, siri answers more accurately then alexa.  i don't see a real need for it in my household, though it was a good bargain on prime day deals.",2,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love my echo. still learning how every thing works but having tons of fun.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i love you so much,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,no different than apple. to play a specific list of music you must have an amazon of spotify “plus/prime/etc” account.  so you must pay to play “your” music.  3 stars for that reason.  everything else is 👍🏻 .,3,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"excelente, lo unico es que no esta en español.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i'm still learning how to use it, but so far my echo is great! the sound is actually much better than i was expecting.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,works as you’d expect and then some. also good sound quality considering price (70.00 on sale) and features.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the sound from this echo 2nd generation is phenomenal!  not to mention that i just love alexa!  she is very helpful.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,like google better,3,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,just had to have it and now lets play and learn how to get the most out of it.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,works as advertised. very easy to setup. still learning what this can do.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,great sound and easy to set up.,4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"love alexa, bought others for friends",5,30-Jul-18,Oak Finish ,kaggle_amazon_alexa
Amazon Alexa / Echo,love the echo i purchased it for company for my husband he is 83 and alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,😍,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love being able to listen to music easily. still learning all the features available,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"did t really know what i could use this device for. used it for a few things, but need an overview",4,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love this just wish it had a built in hub,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i use it primarily to play music.  it works wonderfully!  still getting used to some of the many things it will do.  amazon has sent several tips since i got it. thanks for all your help!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,how easy if was to set up.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,fast response which was amazing.  clear concise answers and sound quality is fantastic.  i am still getting used to alexia and have not usde echo to its full extent.,4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,you’re all i need...na na nana!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,does everything as expected and more.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i love my echo!  works just like they said it would. i don't have a &#34;smart&#34; home, so i cannot speak about that function, but everything else about it is good.",5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,great sound in a small package—easy to set up and use; fun to own.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,works and sounds great.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the sound is amazing and many collections of all music,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,setting up,4,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,she doesn’t always listen,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,it’s awesome,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i bought this because it can control fios television. it works well. i’m hoping over time it will do more to control fios. then i discovered all the other things alexa can do. play music you ask for. great sound from alexa. play games. play radio stations. play old time radio programs like the long ranger. alexa has many “apps” you can add to her abilities. the other day i played madlibs. great fun. also alexa can control household appliances. i just purchased alexa compatible power strips to control lighting, fans and tv components. i’m looking forward to implementing this controll. you can also add other alexa components to have chosen music to play in all rooms where the components are located.",4,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the speaker has excellent sound and works perfectly!,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i like it all,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i love it. it does everything,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i was a little nervous when i received my new echo as i'm not really tech savvy. i found it a bit intimidating at first but it didn't take me to long to figure it out!! i'm very happy with my purchase and now thinking of adding an echo spot!!!,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i like it and still learning how to use it.,4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,great technology!! can't believe the speaker volume and quality is so wonderful. wish i had bought another one!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i purchased an echo dot for my husband for fathers day.  he uses it constantly and after hearing the quality of sound of the echo (2nd generation), it was a no-brainer.  best gift ever!",5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,works fine!!,4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,clear music,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"fun to use, good sound quality",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the echo works well. i was able to sync it with my other amazon music devices.,5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"works great, but i don't think amazon should charge another cent for unlimited music when you 1) have prime and 2) buy an echo.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,already had an echo dot. the echo is even better with fuller sound. also during setup it now lets phone calls to be made to my contact list which is great!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the speaker sounds really good,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,good sound works well,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love it and alexa. i am not very savvy but support was very helpful and patient.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"love it! i was thinking about getting one and when the prime day discount was offered, i could not pass it up! it's fun to ask alexa to play any song or group and she comes up with a playlist from amazon prime music. you can also connect your iphone with bluetooth and play music with pandora or youtube videos using alexa as a speaker. i've been having fun asking alexa different types of questions or for information like weather, news or even the time in other countries. the only downside is if you have limited data on your wifi plan, because alexa uses burns it up when playing music.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"we like it all so far, but have a lot to try out yet.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love it - am using it strictly for music now and it's great!,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"love the echo !!! i love the size, material and speaker quality. i have it hooked up to one light easily and will work on additional lights and thermostat. next is echo dot for bedroom. there is a lot more to do with echo that you think. traffic, weather, trivia, etc.",5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love it!,4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the entire family loves alexa echo. she’s now a part of this family.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"great fun getting to know all the functions of this product.  wow -- family fun and homework help.  talking with other grandchildren,who also have an echo, is a huge bonus.  can't wait to learn more and more and more",5,30-Jul-18,Walnut Finish ,kaggle_amazon_alexa
Amazon Alexa / Echo,love it!,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"awesome thing, love alexa",5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,it worked exactly as expected and the speaker has great sound. it is perfect for my classroom!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"love, love this new little gadget.  has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  we hardly need our cd's anymore, since alexa plays everything we need.  going to get the alexa dots soon for more rooms.  thanks!!",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the speaker is of surprising quality. happy with the purchase.,4,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,very easy to set up. works wonderful and i love it!!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i'm really impressed with the sound quality when playing music from this device.  the bass sounds almost like it's coming from a bigger speaker so props to amazon.,5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"it’s still a great product.but the sound quality does seem worse.don’t get me wrong. you definitely get used to it within an hour. but it definitely feels like echo gen 1 sound quality was better.besides that , it’s great.with the addition of being able to play just over bluetooth with no wifi, it’s even better.",4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the outlet does not work with it. was disappointed in that.,4,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"great device, responsive and helpful",4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,sound is terrible if u want good music too get a bose,2,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i liked the sound . what is troubling is that i paid extra money to have access to a million more songs. sometimes it doesn't work. ex. alexa play italian songs&#34; .don't have or don&#34; t understand. or play the opera tosca, response &#34;sorry i don&#34;t have that.",4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,easy to set up and use. too bad it has to be plugged in. would be nice to take it outside and operate on battery and recharged.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,still learning all the ways to use it.  it is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  very cute.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"4.5 out of 5 stars. i generally like this product. its great at doing what you ask of it like playing music, setting timers, and making calls. reason why i didn't rate it 5 out of 5 is that sometimes the connection dies and my echo stops playing music and shows a red ring. seems to be a connection issue. overall, great product.",4,30-Jul-18,Oak Finish ,kaggle_amazon_alexa
Amazon Alexa / Echo,"works great, upgraded from echo dot to full size echo, couldn’t be happier!",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,it's alexa.... what else can you say,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,upgraded from my lilttle echo dot. happy with sound,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"excellent product, set up with ease as well.",4,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i've had the first gen echo since it first came out and it has worked well for me. i purchased the 2nd gen during prime day and so far i'm happy. it seems to have an improved speaker which provides enhanced sound for music and such.,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i love my echo smart speaker.  i love the volume and clarity.  it was easy to set up.  its a wonderful gift for any age.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,wonderful product and fast delivery!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,initially harder to set up called tech wasn’t that knowledgeable now working great.,4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,it was very easy to set up and my family love it’s!,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,has great sound and is very responsive my voice and commands.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,how did i live this long without the echo . you get to enjoy any music style  just my asking alexa . going to up-greade to the wireless . love the echo . love you too alexa .,5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,very cool product. speaker sounds good with my spotify blasting through it.,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,having so much fun with alexa. love being able to listen to music when i’m across the room or busy doing something else.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"so far it seems to be a very nice item. it picks up on my voice and understands me without any problems. the other day i asked it to turn down the music from the next room and it heard me just fine. i've only used it to listen to music and check the weather, but it has done both of those things very well.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love our echo,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i love it,she is very helpful. i use her for remembering things and sleep. you can ask her just about anything. i have only had her for about a week so still learning her.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"it's better than the 1st gen in every way except for one.  i really miss the ring at the top for volume control.  it was quicker and easier to just grab the top and twist without having to look at the buttons and find the &#34;-&#34; one and press it a few times.  i also wish the bass was a bit better.  all in all, it's a great device and i'm happy with it.",4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i love having an alexa!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,so far i like it 🤓,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i am thoroughly enjoying my ecoo!  love to have it read my audiobook to me while in the office and then i can simply open the audiobook on my kindle to continue it when elsewhere. wonderful for listening to music when not in the mood for a book. great for setting reminders for myself too and so much more.,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,still love it,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love it,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i love the sound quality of this unit, it is a very clear sound.",5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i just this for listening to talk radio in the morning and turning lights on and off etc. the system does an excellent job as a full house sound system streaming sirius.,4,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i have had for only a week, so i am still learning all that alexa can do.  it is a learning process.  i love the music i can call up any time.  i listen to podcasts and radio stations.  i have just started keeping shopping lists and grocery lists, which i love.  i don’t have to search for paper and pencil.  getting time and temperature are great, do not have to wait for weather reports.  the sound is good.  i am not fussy about woofers, tweeters, base , etc.  the echo is fine for me.  this afternoon i am going to try “dropping in”.on my son when he gets home.  going to surprise him.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,not much features.,1,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"great sound quality, great features, great product. multi room music is very cool.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,cool,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,everyone should have an echo or two or three or more. i bought my echo through qvc.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,it's annoying that everything they show alexa as being able to do has to be downloaded. you spend so  much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself,3,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i have had alexa since the beginning.  i accidentally spilled water on her and have replaced it with the 2nd generation.  i decided i couldn't be without an echo.  setup was easy and had it working within minutes.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i like being able to tell alexia the music i want to hear, but sometimes she has trouble finding the song if i am not very specific about the title.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i like the looks better than the original echo.  i moved my old echo to the basement family room. nice sound.,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,the echo is wonderful but i'm still learning how to use it. music requests are somewhat limited.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"doesn't know half the things asked. can't recognize my sprinkler wifi controller, even though product details says it is compatible. can't program or change my wifi thermostat settings and its matched up on same wifi router. just a handy music player. that's if you have amazon music.",3,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love it,5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,awesome.understands my kids,5,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,we were pleasantly surprised at the sound quality and the many features. how nice to easily hear a particular artist or hear our books just by a simple command. looking forward to exploring other options with this device.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,met and exceeded my expectations. easy set up and is really quick in responses.,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i like the fact that i can get any kind of music from prime that i want on request from alexa. i liked the informative photo little pamphlet but wish it included how to connect your tv etc. to the commands from alexa. but, i really love having the music.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i have not found a way to access my echo thorough my prime account.  i think it should be part of the top line with video, music, etc.  i also think the setup app where i define, for example music i like, is not well integrated into echo.  i have tried to ask for my playlist and echo is not sure even though i set up play list in my settings.  i also do not like the fact that my words have to be exact match of my playlist names, which i can never remember.i like the ready nature of echo to respond to most any queries.",4,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,this is great item and just added audible books which makes it even better. thank you!,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"during prime day this 2nd gen echo was on sale so i couldn't resist! this was the beginning to my smart home set up and i couldn't be happier to say that alexa has done an amazing job connecting to all of my ""smart"" devices. thanks to her, i can control my lights, smart plugs, tv, etc. i had no trouble connecting the echo to my wifi and my phone. the app works perfectly fine and it let's you add skills, routines, smart devices, timers, and so much more! sound quality is good enough for me, since i am not an audiophile. alexa can hear my voice even when watching movies at a high volume. design is great and modern, it will definitely add a nice touch to your home and you can change the covers if you'd like as there are more for sale. overall, this is a great addition to my home and enables so many possibilities. if you haven't yet, be sure to add alexa to your home!",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
